Héctor_Cúper, playsFor, Argentina_national_football_team
Héctor_Cúper, playsFor, Club_Atlético_Huracán
Héctor_Cúper, playsFor, Club_Ferro_Carril_Oeste
Héctor_Cúper, playsFor, Independiente_Rivadavia
Héctor_Cúper, isAffiliatedTo, Aris_Thessaloniki_F.C.
Héctor_Cúper, isAffiliatedTo, Argentina_national_football_team
Héctor_Cúper, isAffiliatedTo, Club_Atlético_Huracán
Héctor_Cúper, isAffiliatedTo, Georgia_national_football_team
Héctor_Cúper, isAffiliatedTo, Valencia_C.F.
Héctor_Cúper, isAffiliatedTo, R.C.D._Mallorca
Héctor_Cúper, isAffiliatedTo, Orduspor
Héctor_Cúper, isAffiliatedTo, Racing_Club_de_Santander
Héctor_Cúper, isAffiliatedTo, Club_Ferro_Carril_Oeste
Héctor_Cúper, isAffiliatedTo, C.A._Lanús
Héctor_Cúper, isAffiliatedTo, Independiente_Rivadavia
Ariel_Garcé, playsFor, Argentina_national_football_team
Ariel_Garcé, isAffiliatedTo, Argentina_national_football_team
Juan_Pablo_Sorín, playsFor, Argentina_national_football_team
Juan_Pablo_Sorín, isAffiliatedTo, Argentina_national_football_team
Esteban_Cambiasso, playsFor, Argentina_national_football_team
Esteban_Cambiasso, isAffiliatedTo, Argentina_national_football_team
Nicolás_Medina, playsFor, Argentina_national_football_team
Nicolás_Medina, isAffiliatedTo, Argentina_national_football_team
Ángel_Puertas, playsFor, Club_Atlético_Huracán
Ángel_Puertas, isAffiliatedTo, Club_Atlético_Huracán
de/Abdullah_Matay, isAffiliatedTo, Orduspor
Roberto_Ayala, playsFor, Argentina_national_football_team
Roberto_Ayala, playsFor, Club_Ferro_Carril_Oeste
Roberto_Ayala, isAffiliatedTo, Argentina_national_football_team
Roberto_Ayala, isAffiliatedTo, Club_Ferro_Carril_Oeste
Lisandro_López, playsFor, Argentina_national_football_team
Lisandro_López, isAffiliatedTo, Argentina_national_football_team
Germán_Lux, playsFor, Argentina_national_football_team
Germán_Lux, isAffiliatedTo, Argentina_national_football_team
Germán_Lux, isAffiliatedTo, R.C.D._Mallorca
David_Rangel_Pastor, isAffiliatedTo, Valencia_C.F.
Pau_Cendrós_López, isAffiliatedTo, R.C.D._Mallorca
João_da_Rocha_Ribeiro, playsFor, Orduspor
João_da_Rocha_Ribeiro, isAffiliatedTo, Orduspor
Federico_Sacchi, playsFor, Argentina_national_football_team
Federico_Sacchi, isAffiliatedTo, Argentina_national_football_team
Juan_Simón, playsFor, Argentina_national_football_team
Juan_Simón, isAffiliatedTo, Argentina_national_football_team
Buckethead, playsFor, Argentina_national_football_team
Emilio_Nsue, isAffiliatedTo, R.C.D._Mallorca
Diego_Pozo, playsFor, Argentina_national_football_team
Diego_Pozo, playsFor, Club_Atlético_Huracán
Diego_Pozo, isAffiliatedTo, Argentina_national_football_team
Diego_Pozo, isAffiliatedTo, Club_Atlético_Huracán
Emiliano_Insúa, playsFor, Argentina_national_football_team
Emiliano_Insúa, isAffiliatedTo, Argentina_national_football_team
Rogelio_Domínguez, isAffiliatedTo, Argentina_national_football_team
Fernando_Gamboa, playsFor, Argentina_national_football_team
Fernando_Gamboa, isAffiliatedTo, Argentina_national_football_team
Akaki_Khubutia, isAffiliatedTo, Georgia_national_football_team
Rogério_Gaúcho, isAffiliatedTo, R.C.D._Mallorca
Óscar_García_Junyent, isAffiliatedTo, Valencia_C.F.
Emmanuel_Banahene, playsFor, Orduspor
Emmanuel_Banahene, isAffiliatedTo, Orduspor
Germán_Leonforte, playsFor, Club_Atlético_Huracán
Germán_Leonforte, playsFor, Club_Ferro_Carril_Oeste
Germán_Leonforte, isAffiliatedTo, Club_Atlético_Huracán
Germán_Leonforte, isAffiliatedTo, Club_Ferro_Carril_Oeste
Hugo_Morales, playsFor, Argentina_national_football_team
Hugo_Morales, playsFor, Club_Atlético_Huracán
Hugo_Morales, isAffiliatedTo, Argentina_national_football_team
Hugo_Morales, isAffiliatedTo, Club_Atlético_Huracán
Hugo_Morales, isAffiliatedTo, C.A._Lanús
Dorge_Kouemaha, isAffiliatedTo, Aris_Thessaloniki_F.C.
Juan_Evaristo, playsFor, Argentina_national_football_team
Juan_Evaristo, isAffiliatedTo, Argentina_national_football_team
Ahmet_Kuru, playsFor, Orduspor
Ahmet_Kuru, isAffiliatedTo, Orduspor
Carlos_Enrique, playsFor, Argentina_national_football_team
Carlos_Enrique, isAffiliatedTo, Argentina_national_football_team
Carlos_Enrique, isAffiliatedTo, C.A._Lanús
Gocha_Jamarauli, playsFor, Georgia_national_football_team
Gocha_Jamarauli, isAffiliatedTo, Georgia_national_football_team
Lasha_Salukvadze, playsFor, Georgia_national_football_team
Lasha_Salukvadze, isAffiliatedTo, Georgia_national_football_team
Revaz_Arveladze, playsFor, Georgia_national_football_team
Revaz_Arveladze, isAffiliatedTo, Georgia_national_football_team
Ludovic_Butelle, isAffiliatedTo, Valencia_C.F.
Sebastián_Morquio, playsFor, Club_Atlético_Huracán
Sebastián_Morquio, isAffiliatedTo, Club_Atlético_Huracán
Nicolás_Diez, playsFor, Club_Ferro_Carril_Oeste
Nicolás_Diez, isAffiliatedTo, Club_Ferro_Carril_Oeste
Alberto_Acosta, playsFor, Argentina_national_football_team
Alberto_Acosta, isAffiliatedTo, Argentina_national_football_team
Rodolfo_Arruabarrena, playsFor, Argentina_national_football_team
Rodolfo_Arruabarrena, isAffiliatedTo, Argentina_national_football_team
Hernán_Díaz, playsFor, Argentina_national_football_team
Hernán_Díaz, isAffiliatedTo, Argentina_national_football_team
Javier_Zanetti, playsFor, Argentina_national_football_team
Javier_Zanetti, isAffiliatedTo, Argentina_national_football_team
Borja_Fernández, isAffiliatedTo, R.C.D._Mallorca
Unai_Emery, isAffiliatedTo, Valencia_C.F.
Albert_Luque, isAffiliatedTo, R.C.D._Mallorca
Manuel_Preciado_Rebolledo, isAffiliatedTo, R.C.D._Mallorca
Manuel_Preciado_Rebolledo, isAffiliatedTo, Racing_Club_de_Santander
