Edwin_Holliday, playsFor, Middlesbrough_F.C.
Edwin_Holliday, isAffiliatedTo, Middlesbrough_F.C.
Peter_Creamer, playsFor, Middlesbrough_F.C.
Peter_Creamer, isAffiliatedTo, Middlesbrough_F.C.
Benedict_Iroha, isAffiliatedTo, Watford_F.C.
Trevor_Senior, playsFor, Dorchester_Town_F.C.
Trevor_Senior, playsFor, Reading_F.C.
Trevor_Senior, playsFor, Middlesbrough_F.C.
Trevor_Senior, playsFor, Watford_F.C.
Trevor_Senior, playsFor, Woking_F.C.
Trevor_Senior, playsFor, Portsmouth_F.C.
Trevor_Senior, playsFor, Farnborough_F.C.
Trevor_Senior, playsFor, Aldershot_Town_F.C.
Trevor_Senior, isAffiliatedTo, Dorchester_Town_F.C.
Trevor_Senior, isAffiliatedTo, Reading_F.C.
Trevor_Senior, isAffiliatedTo, Middlesbrough_F.C.
Trevor_Senior, isAffiliatedTo, Watford_F.C.
Trevor_Senior, isAffiliatedTo, Woking_F.C.
Trevor_Senior, isAffiliatedTo, Portsmouth_F.C.
Trevor_Senior, isAffiliatedTo, Farnborough_F.C.
Trevor_Senior, isAffiliatedTo, Aldershot_Town_F.C.
Jason_Matthews_(footballer), playsFor, Dorchester_Town_F.C.
Jason_Matthews_(footballer), isAffiliatedTo, Dorchester_Town_F.C.
Alan_Miller_(footballer), playsFor, Middlesbrough_F.C.
Alan_Miller_(footballer), isAffiliatedTo, Middlesbrough_F.C.
Liburd_Henry, playsFor, Watford_F.C.
Liburd_Henry, playsFor, Woking_F.C.
Liburd_Henry, isAffiliatedTo, Watford_F.C.
Liburd_Henry, isAffiliatedTo, Woking_F.C.
Keith_Scott_(footballer), playsFor, Reading_F.C.
Keith_Scott_(footballer), playsFor, Watford_F.C.
Keith_Scott_(footballer), isAffiliatedTo, Reading_F.C.
Keith_Scott_(footballer), isAffiliatedTo, Watford_F.C.
George_Lawrence_(footballer), playsFor, Portsmouth_F.C.
George_Lawrence_(footballer), isAffiliatedTo, Portsmouth_F.C.
Nick_Barmby, playsFor, Middlesbrough_F.C.
Nick_Barmby, isAffiliatedTo, Middlesbrough_F.C.
Adam_Miller_(footballer), playsFor, Aldershot_Town_F.C.
Adam_Miller_(footballer), isAffiliatedTo, Aldershot_Town_F.C.
David_Knight_(English_footballer), playsFor, Middlesbrough_F.C.
David_Knight_(English_footballer), isAffiliatedTo, Middlesbrough_F.C.
Phil_Alexander, isAffiliatedTo, Reading_F.C.
Isaiah_Osbourne, playsFor, Middlesbrough_F.C.
Isaiah_Osbourne, isAffiliatedTo, Middlesbrough_F.C.
Ray_Parlour, playsFor, Middlesbrough_F.C.
Ray_Parlour, isAffiliatedTo, Middlesbrough_F.C.
Aaron_McLean, playsFor, Aldershot_Town_F.C.
Aaron_McLean, isAffiliatedTo, Aldershot_Town_F.C.
Dean_Howell, playsFor, Aldershot_Town_F.C.
Dean_Howell, isAffiliatedTo, Aldershot_Town_F.C.
David_Nugent, playsFor, Portsmouth_F.C.
David_Nugent, isAffiliatedTo, Portsmouth_F.C.
John_Wark, playsFor, Middlesbrough_F.C.
John_Wark, playsFor, Portsmouth_F.C.
John_Wark, isAffiliatedTo, Middlesbrough_F.C.
Phil_Roberts, playsFor, Portsmouth_F.C.
Phil_Roberts, isAffiliatedTo, Portsmouth_F.C.
Ron_Davies_(footballer_born_1942), playsFor, Portsmouth_F.C.
Ron_Davies_(footballer_born_1942), isAffiliatedTo, Portsmouth_F.C.
John_Sullivan_(English_footballer), playsFor, Portsmouth_F.C.
John_Sullivan_(English_footballer), isAffiliatedTo, Portsmouth_F.C.
Adam_Lockwood, playsFor, Reading_F.C.
Adam_Lockwood, isAffiliatedTo, Reading_F.C.
David_Madden_(footballer), playsFor, Reading_F.C.
David_Madden_(footballer), isAffiliatedTo, Reading_F.C.
Daryl_Robson, playsFor, Middlesbrough_F.C.
Daryl_Robson, isAffiliatedTo, Middlesbrough_F.C.
Steve_Agnew, playsFor, Portsmouth_F.C.
Steve_Agnew, isAffiliatedTo, Portsmouth_F.C.
Chris_Killen, playsFor, Middlesbrough_F.C.
Chris_Killen, isAffiliatedTo, Middlesbrough_F.C.
Lee_Tomlin, playsFor, Middlesbrough_F.C.
Lee_Tomlin, isAffiliatedTo, Middlesbrough_F.C.
Dave_Shearer, playsFor, Middlesbrough_F.C.
Dave_Shearer, isAffiliatedTo, Middlesbrough_F.C.
John_Matthews_(footballer), playsFor, Dorchester_Town_F.C.
John_Matthews_(footballer), isAffiliatedTo, Dorchester_Town_F.C.
Sam_Sodje, playsFor, Reading_F.C.
Sam_Sodje, playsFor, Watford_F.C.
Sam_Sodje, playsFor, Portsmouth_F.C.
Sam_Sodje, isAffiliatedTo, Reading_F.C.
Sam_Sodje, isAffiliatedTo, Watford_F.C.
Sam_Sodje, isAffiliatedTo, Portsmouth_F.C.
Keith_Rowland, playsFor, Farnborough_F.C.
Keith_Rowland, isAffiliatedTo, Farnborough_F.C.
Noel_Blake, playsFor, Portsmouth_F.C.
Noel_Blake, isAffiliatedTo, Portsmouth_F.C.
Chris_Allen_(footballer_born_1972), playsFor, Aldershot_Town_F.C.
Chris_Allen_(footballer_born_1972), isAffiliatedTo, Aldershot_Town_F.C.
Michael_Poke, playsFor, Woking_F.C.
Michael_Poke, isAffiliatedTo, Woking_F.C.
Conor_Sinnott, playsFor, Reading_F.C.
Conor_Sinnott, isAffiliatedTo, Reading_F.C.
John_Keeley, playsFor, Reading_F.C.
John_Keeley, isAffiliatedTo, Reading_F.C.
Jefferson_Louis, playsFor, Woking_F.C.
Jefferson_Louis, isAffiliatedTo, Woking_F.C.
David_Armstrong_(footballer_born_1954), playsFor, Middlesbrough_F.C.
David_Armstrong_(footballer_born_1954), isAffiliatedTo, Middlesbrough_F.C.
Iriney, playsFor, Watford_F.C.
