Robert_Bly, hasWonPrize, National_Book_Award
Robert_Bly, influences, Steven_Ford_Brown
Donald_Johanson, hasWonPrize, National_Book_Award
Flannery_O'Connor, hasWonPrize, National_Book_Award
William_Faulkner, hasWonPrize, National_Book_Award
Salvador_Dalí, influences, Steven_Ford_Brown
Larry_Heinemann, hasWonPrize, National_Book_Award
Saul_Bellow, hasWonPrize, National_Book_Award
John_Barth, hasWonPrize, National_Book_Award
Leonard_Cohen, influences, Steven_Ford_Brown
Anne_Morrow_Lindbergh, hasWonPrize, National_Book_Award
Kurt_Vonnegut, influences, Steven_Ford_Brown
Douglas_Hofstadter, hasWonPrize, National_Book_Award
Lauren_Bacall, hasWonPrize, National_Book_Award
Paul_Klee, influences, Steven_Ford_Brown
Wallace_Stevens, hasWonPrize, National_Book_Award
Lillian_Hellman, hasWonPrize, National_Book_Award
Tim_O'Brien_(author), hasWonPrize, National_Book_Award
William_Steig, hasWonPrize, National_Book_Award
John_Steinbeck, hasWonPrize, National_Book_Award
Elizabeth_Bishop, hasWonPrize, National_Book_Award
Maxine_Hong_Kingston, hasWonPrize, National_Book_Award
John_O'Hara, hasWonPrize, National_Book_Award
Thomas_Pynchon, hasWonPrize, National_Book_Award
Shirley_Hazzard, hasWonPrize, National_Book_Award
Daphne_du_Maurier, hasWonPrize, National_Book_Award
Pablo_Neruda, influences, Steven_Ford_Brown
Patti_Smith, hasWonPrize, National_Book_Award
Patti_Smith, influences, Steven_Ford_Brown
Richard_Wilbur, hasWonPrize, National_Book_Award
Allen_Ginsberg, hasWonPrize, National_Book_Award
Allen_Ginsberg, influences, Steven_Ford_Brown
Bernard_Malamud, hasWonPrize, National_Book_Award
Ron_Arias, hasWonPrize, National_Book_Award
Beverly_Cleary, hasWonPrize, National_Book_Award
Norbert_Wiener, hasWonPrize, National_Book_Award
Dalton_Trumbo, hasWonPrize, National_Book_Award
Gore_Vidal, hasWonPrize, National_Book_Award
W._H._Auden, hasWonPrize, National_Book_Award
John_Irving, hasWonPrize, National_Book_Award
Eudora_Welty, hasWonPrize, National_Book_Award
Thornton_Wilder, hasWonPrize, National_Book_Award
Joan_Didion, hasWonPrize, National_Book_Award
Donald_Barthelme, hasWonPrize, National_Book_Award
Junot_Díaz, hasWonPrize, National_Book_Award
E._L._Doctorow, hasWonPrize, National_Book_Award
John_Updike, hasWonPrize, National_Book_Award
James_Jones_(author), hasWonPrize, National_Book_Award
Ève_Curie, hasWonPrize, National_Book_Award
Theodore_Roethke, hasWonPrize, National_Book_Award
Spalding_Gray, hasWonPrize, National_Book_Award
Jack_Kerouac, influences, Steven_Ford_Brown
Diane_Wakoski, influences, Steven_Ford_Brown
John_D._MacDonald, hasWonPrize, National_Book_Award
John_Cheever, hasWonPrize, National_Book_Award
Ralph_Ellison, hasWonPrize, National_Book_Award
Katherine_Paterson, hasWonPrize, National_Book_Award
Denis_Johnson, hasWonPrize, National_Book_Award
Joyce_Carol_Oates, hasWonPrize, National_Book_Award
Howard_Nemerov, hasWonPrize, National_Book_Award
Elaine_Pagels, hasWonPrize, National_Book_Award
Susan_Sontag, hasWonPrize, National_Book_Award
Robert_Lowell, hasWonPrize, National_Book_Award
Stephen_King, hasWonPrize, National_Book_Award
Robert_Penn_Warren, hasWonPrize, National_Book_Award
William_F._Buckley,_Jr., hasWonPrize, National_Book_Award
Elmore_Leonard, hasWonPrize, National_Book_Award
Richard_Eberhart, hasWonPrize, National_Book_Award
Paula_Fox, hasWonPrize, National_Book_Award
Maurice_Sendak, hasWonPrize, National_Book_Award
Don_DeLillo, hasWonPrize, National_Book_Award
Colum_McCann, hasWonPrize, National_Book_Award
Robert_Nozick, hasWonPrize, National_Book_Award
William_Styron, hasWonPrize, National_Book_Award
Ray_Bradbury, hasWonPrize, National_Book_Award
Randall_Jarrell, hasWonPrize, National_Book_Award
Thomas_Friedman, hasWonPrize, National_Book_Award
Antoine_de_Saint-Exupéry, hasWonPrize, National_Book_Award
William_Gaddis, hasWonPrize, National_Book_Award
Richard_Powers, hasWonPrize, National_Book_Award
Walker_Percy, hasWonPrize, National_Book_Award
Philip_Roth, hasWonPrize, National_Book_Award
Erik_Erikson, hasWonPrize, National_Book_Award
James_Merrill, hasWonPrize, National_Book_Award
John_Ashbery, hasWonPrize, National_Book_Award
Sherman_Alexie, hasWonPrize, National_Book_Award
Tom_Wolfe, hasWonPrize, National_Book_Award
Nancy_Farmer, hasWonPrize, National_Book_Award
Henry_Kissinger, hasWonPrize, National_Book_Award
Salvador_Luria, hasWonPrize, National_Book_Award
Lloyd_Alexander, hasWonPrize, National_Book_Award
Stephen_Greenblatt, hasWonPrize, National_Book_Award
Louise_Erdrich, hasWonPrize, National_Book_Award
William_Carlos_Williams, hasWonPrize, National_Book_Award
Philip_J._Davis, hasWonPrize, National_Book_Award
John_Berryman, hasWonPrize, National_Book_Award
William_T._Vollmann, hasWonPrize, National_Book_Award
Frank_O'Hara, hasWonPrize, National_Book_Award
A._J._Cronin, hasWonPrize, National_Book_Award
Isaac_Bashevis_Singer, hasWonPrize, National_Book_Award
