Lee_Clarke, playsFor, Northern_Ireland_national_under-21_football_team
Godfrey_Ingram, isAffiliatedTo, St_Albans_City_F.C.
Charlie_Chaplin, wasBornIn, London
Charlie_Chaplin, directed, City_Lights
Antoine_Bonifaci, playsFor, Bologna_F.C._1909
Antoine_Bonifaci, playsFor, France_national_football_team
Antoine_Bonifaci, playsFor, Inter_Milan
Antoine_Bonifaci, playsFor, Torino_F.C.
Antoine_Bonifaci, playsFor, OGC_Nice
Antoine_Bonifaci, playsFor, Vicenza_Calcio
Antoine_Bonifaci, playsFor, Stade_Français_Paris_(football)
Antoine_Bonifaci, isAffiliatedTo, Bologna_F.C._1909
Antoine_Bonifaci, isAffiliatedTo, Torino_F.C._1906
Antoine_Bonifaci, isAffiliatedTo, France_national_football_team
Antoine_Bonifaci, isAffiliatedTo, Inter_Milan
Antoine_Bonifaci, isAffiliatedTo, Torino_F.C.
Antoine_Bonifaci, isAffiliatedTo, OGC_Nice
Antoine_Bonifaci, isAffiliatedTo, Vicenza_Calcio
Antoine_Bonifaci, isAffiliatedTo, Stade_Français_Paris_(football)
Antoine_Bonifaci, wasBornIn, Bezons
Giuseppe_Viani, playsFor, Inter_Milan
Giuseppe_Viani, isAffiliatedTo, Inter_Milan
Esteban_Cambiasso, playsFor, Inter_Milan
Esteban_Cambiasso, isAffiliatedTo, Inter_Milan
Sidney_Govou, isAffiliatedTo, France_national_football_team
Ljubomir_Radanović, playsFor, OGC_Nice
Ljubomir_Radanović, isAffiliatedTo, OGC_Nice
Luís_Figo, playsFor, Inter_Milan
Luís_Figo, isAffiliatedTo, Inter_Milan
Stefano_Lombardi, playsFor, Bologna_F.C._1909
Stefano_Lombardi, playsFor, Inter_Milan
Stefano_Lombardi, isAffiliatedTo, Bologna_F.C._1909
Stefano_Lombardi, isAffiliatedTo, Inter_Milan
Kamel_Larbi, playsFor, OGC_Nice
Kamel_Larbi, isAffiliatedTo, OGC_Nice
Marco_Di_Loreto, playsFor, Torino_F.C.
Marco_Di_Loreto, isAffiliatedTo, Torino_F.C._1906
Marco_Di_Loreto, isAffiliatedTo, Torino_F.C.
Dorian_Dervite, isAffiliatedTo, France_national_football_team
Luca_Toni, playsFor, Vicenza_Calcio
