Harvard University, isLocatedIn, United States
Eleanor Roosevelt, wasBornIn, New York City
BC_Kyiv, isLocatedIn, Kiev
BC_Kyiv, isLocatedIn, Ukraine
FC_Torpedo_Zaporizhya, isLocatedIn, Ukraine
Eurosport_2, isLocatedIn, Ukraine
Poland, hasNeighbor, Ukraine
de/SD_Worx, isLocatedIn, Ukraine
Sergei_Podpaly, wasBornIn, Kiev
Uzbekistan, dealsWith, Ukraine
Russia, hasNeighbor, Ukraine
Yevhen_Yevseyev, wasBornIn, Kiev
Viktor_Bopp, wasBornIn, Kiev
Lviv, isLocatedIn, Ukraine
Andriy_Konyushenko, wasBornIn, Kiev
Little_Vietnam, isLocatedIn, Ukraine
Anatoliy_Shepel, wasBornIn, Kiev
Kyiv_International_Airport_(Zhuliany), isLocatedIn, Kiev
Ihor_Korniyets, wasBornIn, Kiev
Pavlo_Tychyna, diedIn, Kiev
Pavlo_Tychyna, livesIn, Kiev
Kiev, isLocatedIn, Ukraine
Vadym_Rodina, wasBornIn, Kiev
Sergei_Winogradsky, wasBornIn, Kiev
Igor_Sikorsky, wasBornIn, Kiev
Belarus, dealsWith, Ukraine
Belarus, hasNeighbor, Ukraine
Oleksandr_Turchynov, isPoliticianOf, Ukraine
Yulia_Tymoshenko_Bloc, isLocatedIn, Kiev
Kherson, isLocatedIn, Ukraine
Search_for_Common_Ground, isLocatedIn, Ukraine
Slovakia, hasNeighbor, Ukraine
Austro-Russian–Turkish_War_(1735–39), happenedIn, Ukraine
Kirovohrad, isLocatedIn, Ukraine
Kazakhstan, dealsWith, Ukraine
Andriy_Bashlay, wasBornIn, Kiev
Oleksandr_Shchanov, diedIn, Kiev
VTB_United_League, isLocatedIn, Ukraine
Dniester, isLocatedIn, Ukraine
Ukraine, hasCapital, Kiev
Yevhen_Zarichnyuk, wasBornIn, Kiev
Ukrainian_Soviet_Socialist_Republic, hasCapital, Kiev
Oleh_Bazylevych, wasBornIn, Kiev
Russo-Polish_War_(1654–67), happenedIn, Ukraine
Ottoman_wars_in_Europe, happenedIn, Ukraine
Medzhybizh, isLocatedIn, Ukraine
Yevhen_Lutsenko, wasBornIn, Kiev
MFC_Kremin_Kremenchuk, isLocatedIn, Ukraine
Horodok,_Lviv_Oblast, isLocatedIn, Ukraine
Lviv_Oblast, isLocatedIn, Ukraine
F.C._Dynamo_Kyiv, isLocatedIn, Kiev
F.C._Dynamo_Kyiv, isLocatedIn, Ukraine
Chernivtsi, isLocatedIn, Ukraine
PFC_Oleksandriya, isLocatedIn, Ukraine
Dnipropetrovsk, isLocatedIn, Ukraine
Oleh_Venhlynskyi, wasBornIn, Kiev
Mstislav_I_of_Kiev, diedIn, Kiev
Romania, hasNeighbor, Ukraine
Bülent_Ecevit, diedIn, Kiev
Roman_Zozulya_(footballer), wasBornIn, Kiev
Nikopol,_Ukraine, isLocatedIn, Ukraine
Artem_Starhorodskyi, wasBornIn, Kiev
Jurijs_Popkovs, wasBornIn, Kiev
Moldavia, isLocatedIn, Ukraine
Kharkiv, isLocatedIn, Ukraine
Anatoliy_Kitsuta, wasBornIn, Kiev
Volodymyr_Bondarenko_(footballer), wasBornIn, Kiev
Yuriy_Voynov, diedIn, Kiev
Viktor_Melnyk, wasBornIn, Kiev
Viktor_Yushchenko, isPoliticianOf, Ukraine
Hungary, hasNeighbor, Ukraine
Russo-Turkish_War_(1768–74), happenedIn, Ukraine
Boryslav, isLocatedIn, Ukraine
Vladislav_Ternavsky, wasBornIn, Kiev
BC_Azovmash, isLocatedIn, Ukraine
Great_Turkish_War, happenedIn, Ukraine
Vyacheslav_Semyonov, wasBornIn, Kiev
Danube, isLocatedIn, Ukraine
Mykolaiv, isLocatedIn, Ukraine
Andriy_Pylyavskyi, wasBornIn, Kiev
Ukrainian_People's_Republic, hasCapital, Kiev
Russian_Civil_War, happenedIn, Ukraine
FSC_Bukovyna_Chernivtsi, isLocatedIn, Ukraine
Kharkiv_Oblast, isLocatedIn, Ukraine
Simferopol, isLocatedIn, Ukraine
Alexander_Ostrowski, wasBornIn, Kiev
Luhansk, isLocatedIn, Ukraine
Vsevolod_Romanenko, wasBornIn, Kiev
Ihor_Dotsenko, wasBornIn, Kiev
Oleksandr_Sorokalet_(footballer), diedIn, Kiev
Anatoliy_Puzach, diedIn, Kiev
Donetsk, isLocatedIn, Ukraine
Oleksiy_Mykhaylychenko, wasBornIn, Kiev
Deluge_(history), happenedIn, Ukraine
Maya_Deren, wasBornIn, Kiev
Vinnytsia_Oblast, isLocatedIn, Ukraine
Vinnytsia, isLocatedIn, Ukraine
Armenia, dealsWith, Ukraine
Valentyn_Slyusar, wasBornIn, Kiev
Syarhey_Herasimets, wasBornIn, Kiev
Drohobych, isLocatedIn, Ukraine
Beskids, isLocatedIn, Ukraine
