New York City, isLocatedIn, United States
Eleanor Roosevelt, diedIn, New York City
Charlie_Chaplin, wroteMusicFor, City_Lights
Claude_Lévi-Strauss, hasWonPrize, Erasmus_Prize
Gianfranco_Dell'Innocenti, diedIn, Viareggio
Gianfranco_Dell'Innocenti, wasBornIn, Viareggio
Treviso, isLocatedIn, Italy
Treviso, isLocatedIn, Province_of_Treviso
Treviso, isLocatedIn, Veneto
War_of_the_Third_Coalition, happenedIn, Italy
Aosta, isLocatedIn, Italy
Juvecaserta_Basket, isLocatedIn, Italy
Lega_Basket_Serie_A, isLocatedIn, Italy
Ludwig_(film), isLocatedIn, Italy
Siege_of_Florence_(1529–30), happenedIn, Italy
Eurosport_2, isLocatedIn, Italy
Germany, dealsWith, Italy
de/SD_Worx, isLocatedIn, Italy
Portugal, dealsWith, Italy
Franco_Modigliani, isCitizenOf, Italy
Rome, isLocatedIn, Italy
Latvia, dealsWith, Italy
Province_of_Bergamo, isLocatedIn, Italy
Lombardy, isLocatedIn, Italy
Austria, dealsWith, Italy
A.C._Cesena, isLocatedIn, Italy
Civitavecchia, isLocatedIn, Italy
Murmur_of_the_Heart, isLocatedIn, Italy
Piero_Sraffa, isCitizenOf, Italy
Terminal_Station_(film), isLocatedIn, Italy
Palermo, isLocatedIn, Italy
Rugby_Viadana, isLocatedIn, Italy
Titus_(film), isLocatedIn, Italy
Basket_Napoli, isLocatedIn, Italy
Amintore_Fanfani, isPoliticianOf, Italy
A.C._Milan, isLocatedIn, Italy
Little_Vietnam, isLocatedIn, Italy
Italian_War_of_1499–1504, happenedIn, Italy
Romano_Prodi, isPoliticianOf, Italy
Lamberto_Dini, isPoliticianOf, Italy
Lamberto_Dini, livesIn, Italy
Mauritania, dealsWith, Italy
Province_of_Genoa, isLocatedIn, Italy
Pallacanestro_Cantù, isLocatedIn, Italy
Hamlet_(1990_film), isLocatedIn, Italy
Croatia, dealsWith, Italy
Serbia, dealsWith, Italy
Annibale_Carracci, isCitizenOf, Italy
For_a_Few_Dollars_More, isLocatedIn, Italy
Morocco, dealsWith, Italy
Macau, dealsWith, Italy
Slovakia, dealsWith, Italy
Kazakhstan, dealsWith, Italy
Bulgaria, dealsWith, Italy
Piedmont, isLocatedIn, Italy
Battle_of_Asculum_(279_BC), isLocatedIn, Italy
Battle_of_Asculum_(279_BC), happenedIn, Italy
Calabria, isLocatedIn, Italy
Vigevano, isLocatedIn, Italy
Silk_(2007_film), isLocatedIn, Italy
Livorno, isLocatedIn, Italy
Genoa, isLocatedIn, Italy
Slovenia, dealsWith, Italy
Slovenia, hasNeighbor, Italy
Messina, isLocatedIn, Italy
L'Aquila_Rugby, isLocatedIn, Italy
Oedipus_Rex_(film), isLocatedIn, Italy
Long_Night_in_1943, isLocatedIn, Italy
Guerino_Vanoli_Basket, isLocatedIn, Italy
Scotland, dealsWith, Italy
Province_of_Pordenone, isLocatedIn, Italy
Gendarme_in_New_York, isLocatedIn, Italy
Gothic_Line, happenedIn, Italy
Giulio_Andreotti, isPoliticianOf, Italy
Mariano_Rumor, isPoliticianOf, Italy
Franco-Dutch_War, happenedIn, Italy
Sorrento, isLocatedIn, Italy
Filippo_Lippi, isCitizenOf, Italy
Eritrea, dealsWith, Italy
Trent, isLocatedIn, Italy
Trieste, isLocatedIn, Italy
Olimpia_Milano, isLocatedIn, Italy
Iraq, dealsWith, Italy
Cremona, isLocatedIn, Italy
Milan, isLocatedIn, Italy
Naples, isLocatedIn, Italy
The_Milky_Way_(1969_film), isLocatedIn, Italy
The_Last_Judgement_(1961_film), isLocatedIn, Italy
Netherlands, dealsWith, Italy
Italo_Balbo, isPoliticianOf, Italy
Basket_Rimini_Crabs, isLocatedIn, Italy
Belgium, dealsWith, Italy
Nuoro, isLocatedIn, Italy
Sardinia, isLocatedIn, Italy
Old_Shatterhand_(film), isLocatedIn, Italy
Maritime_Alps, isLocatedIn, Italy
Liguria, isLocatedIn, Italy
Portici, isLocatedIn, Italy
Province_of_Naples, isLocatedIn, Italy
S.S._Virtus_Lanciano_1924, isLocatedIn, Italy
Casale_Monferrato, isLocatedIn, Italy
Province_of_Alessandria, isLocatedIn, Italy
Battle_of_Lodi, happenedIn, Italy
Province_of_Rovigo, isLocatedIn, Italy
Province_of_Rovigo, isLocatedIn, Veneto
Rovigo, isLocatedIn, Italy
